region,ci_name,ci_frequency,standard_name,units,mid_month,RRm_year_1.5C_rcp85_ensemble-robustness
09576_Roth,RRm,year,precipitation,mm day-1,7,1.0
09577_Weißenburg-Gunzenhausen,RRm,year,precipitation,mm day-1,7,1.0
09661_09671_09676_Region_um_Aschaffenburg,RRm,year,precipitation,mm day-1,7,
09661_Aschaffenburg,RRm,year,precipitation,mm day-1,7,1.0
09662_09678_Region_um_Schweinfurt,RRm,year,precipitation,mm day-1,7,1.0
09662_Schweinfurt,RRm,year,precipitation,mm day-1,7,1.0
09663_09679_Region_um_Würzburg,RRm,year,precipitation,mm day-1,7,1.0
09663_Würzburg,RRm,year,precipitation,mm day-1,7,1.0
09671_Aschaffenburg,RRm,year,precipitation,mm day-1,7,
09672_Bad Kissingen,RRm,year,precipitation,mm day-1,7,
09673_Rhön-Grabfeld,RRm,year,precipitation,mm day-1,7,
09674_Haßberge,RRm,year,precipitation,mm day-1,7,1.0
09675_Kitzingen,RRm,year,precipitation,mm day-1,7,1.0
09676_Miltenberg,RRm,year,precipitation,mm day-1,7,1.0
09677_Main-Spessart,RRm,year,precipitation,mm day-1,7,1.0
09678_Schweinfurt,RRm,year,precipitation,mm day-1,7,1.0
09679_Würzburg,RRm,year,precipitation,mm day-1,7,1.0
09761_09772_09771_Region_um_Augsburg,RRm,year,precipitation,mm day-1,7,1.0
09761_Augsburg,RRm,year,precipitation,mm day-1,7,1.0
09762_09777_Region_um_Kaufbeuren,RRm,year,precipitation,mm day-1,7,1.0
09762_Kaufbeuren,RRm,year,precipitation,mm day-1,7,1.0
09763_09780_Region_um_Kempten_(Allgäu),RRm,year,precipitation,mm day-1,7,1.0
09763_Kempten (Allgäu),RRm,year,precipitation,mm day-1,7,1.0
09764_09778_08436_Region_um_Memmingen,RRm,year,precipitation,mm day-1,7,1.0
09764_Memmingen,RRm,year,precipitation,mm day-1,7,1.0
09771_Aichach-Friedberg,RRm,year,precipitation,mm day-1,7,1.0
09772_Augsburg,RRm,year,precipitation,mm day-1,7,1.0
09773_Dillingen a.d. Donau,RRm,year,precipitation,mm day-1,7,1.0
09774_Günzburg,RRm,year,precipitation,mm day-1,7,1.0
09775_Neu-Ulm,RRm,year,precipitation,mm day-1,7,1.0
09776_08435_08436_09780_09763_Region_um_Lindau_(Bodensee),RRm,year,precipitation,mm day-1,7,1.0
09776_Lindau (Bodensee),RRm,year,precipitation,mm day-1,7,1.0
09777_Ostallgäu,RRm,year,precipitation,mm day-1,7,1.0
09778_Unterallgäu,RRm,year,precipitation,mm day-1,7,1.0
09779_Donau-Ries,RRm,year,precipitation,mm day-1,7,1.0
09780_Oberallgäu,RRm,year,precipitation,mm day-1,7,1.0
10041_Regionalverband Saarbrücken,RRm,year,precipitation,mm day-1,7,
10042_Merzig-Wadern,RRm,year,precipitation,mm day-1,7,
10043_10044_10045_10041_10046_07336_Region_um_Neunkirchen,RRm,year,precipitation,mm day-1,7,
10043_Neunkirchen,RRm,year,precipitation,mm day-1,7,
10044_Saarlouis,RRm,year,precipitation,mm day-1,7,
10045_Saarpfalz-Kreis,RRm,year,precipitation,mm day-1,7,
10046_St. Wendel,RRm,year,precipitation,mm day-1,7,
11000_Berlin,RRm,year,precipitation,mm day-1,7,1.0
12051_12063_12069_Region_um_Brandenburg_an_der_Havel,RRm,year,precipitation,mm day-1,7,1.0
12051_Brandenburg an der Havel,RRm,year,precipitation,mm day-1,7,1.0
12052_12071_Region_um_Cottbus,RRm,year,precipitation,mm day-1,7,1.0
12052_Cottbus,RRm,year,precipitation,mm day-1,7,1.0
12053_12067_12064_Region_um_Frankfurt_(Oder),RRm,year,precipitation,mm day-1,7,1.0
12053_Frankfurt (Oder),RRm,year,precipitation,mm day-1,7,1.0
12054_12063_12069_11000_12051_Region_um_Potsdam,RRm,year,precipitation,mm day-1,7,1.0
12054_Potsdam,RRm,year,precipitation,mm day-1,7,1.0
12060_Barnim,RRm,year,precipitation,mm day-1,7,1.0
12061_Dahme-Spreewald,RRm,year,precipitation,mm day-1,7,1.0
12062_Elbe-Elster,RRm,year,precipitation,mm day-1,7,1.0
12063_Havelland,RRm,year,precipitation,mm day-1,7,1.0
12064_Märkisch-Oderland,RRm,year,precipitation,mm day-1,7,1.0
12065_Oberhavel,RRm,year,precipitation,mm day-1,7,1.0
12066_Oberspreewald-Lausitz,RRm,year,precipitation,mm day-1,7,1.0
12067_Oder-Spree,RRm,year,precipitation,mm day-1,7,1.0
12068_Ostprignitz-Ruppin,RRm,year,precipitation,mm day-1,7,1.0
12069_Potsdam-Mittelmark,RRm,year,precipitation,mm day-1,7,1.0
12070_Prignitz,RRm,year,precipitation,mm day-1,7,1.0
12071_Spree-Neiße,RRm,year,precipitation,mm day-1,7,1.0
12072_Teltow-Fläming,RRm,year,precipitation,mm day-1,7,1.0
12073_Uckermark,RRm,year,precipitation,mm day-1,7,1.0
13003_13072_Region_um_Rostock,RRm,year,precipitation,mm day-1,7,1.0
13003_Rostock,RRm,year,precipitation,mm day-1,7,1.0
13004_13076_13074_Region_um_Schwerin,RRm,year,precipitation,mm day-1,7,1.0
13004_Schwerin,RRm,year,precipitation,mm day-1,7,1.0
13071_Mecklenburgische Seenplatte,RRm,year,precipitation,mm day-1,7,1.0
13072_Rostock,RRm,year,precipitation,mm day-1,7,1.0
13073_Vorpommern-Rügen,RRm,year,precipitation,mm day-1,7,1.0
13074_Nordwestmecklenburg,RRm,year,precipitation,mm day-1,7,1.0
13075_Vorpommern-Greifswald,RRm,year,precipitation,mm day-1,7,1.0
13076_Ludwigslust-Parchim,RRm,year,precipitation,mm day-1,7,1.0
14511_14524_14521_14522_Region_um_Chemnitz,RRm,year,precipitation,mm day-1,7,1.0
14511_Chemnitz,RRm,year,precipitation,mm day-1,7,1.0
14521_Erzgebirgskreis,RRm,year,precipitation,mm day-1,7,1.0
14522_Mittelsachsen,RRm,year,precipitation,mm day-1,7,1.0
14523_Vogtlandkreis,RRm,year,precipitation,mm day-1,7,1.0
14524_Zwickau,RRm,year,precipitation,mm day-1,7,1.0
14612_14627_14625_14628_Region_um_Dresden,RRm,year,precipitation,mm day-1,7,1.0
14612_Dresden,RRm,year,precipitation,mm day-1,7,1.0
14625_Bautzen,RRm,year,precipitation,mm day-1,7,1.0
14626_Görlitz,RRm,year,precipitation,mm day-1,7,1.0
14627_Meißen,RRm,year,precipitation,mm day-1,7,1.0
14628_Sächsische Schweiz-Osterzgebirge,RRm,year,precipitation,mm day-1,7,1.0
14713_14729_14730_Region_um_Leipzig,RRm,year,precipitation,mm day-1,7,1.0
14713_Leipzig,RRm,year,precipitation,mm day-1,7,1.0
14729_Leipzig,RRm,year,precipitation,mm day-1,7,1.0
14730_Nordsachsen,RRm,year,precipitation,mm day-1,7,1.0
15001_15091_15082_Region_um_Dessau-Rolau,RRm,year,precipitation,mm day-1,7,1.0
15001_Dessau-Roßlau,RRm,year,precipitation,mm day-1,7,1.0
15002_15088_Region_um_Halle_(Saale),RRm,year,precipitation,mm day-1,7,1.0
15002_Halle (Saale),RRm,year,precipitation,mm day-1,7,1.0
15003_15083_15089_15086_Region_um_Magdeburg,RRm,year,precipitation,mm day-1,7,1.0
15003_Magdeburg,RRm,year,precipitation,mm day-1,7,1.0
15081_Altmarkkreis Salzwedel,RRm,year,precipitation,mm day-1,7,1.0
15082_Anhalt-Bitterfeld,RRm,year,precipitation,mm day-1,7,1.0
15083_Börde,RRm,year,precipitation,mm day-1,7,1.0
15084_Burgenlandkreis,RRm,year,precipitation,mm day-1,7,1.0
15085_Harz,RRm,year,precipitation,mm day-1,7,1.0
15086_Jerichower Land,RRm,year,precipitation,mm day-1,7,1.0
15087_Mansfeld-Südharz,RRm,year,precipitation,mm day-1,7,1.0
15088_Saalekreis,RRm,year,precipitation,mm day-1,7,1.0
15089_Salzlandkreis,RRm,year,precipitation,mm day-1,7,1.0
15090_Stendal,RRm,year,precipitation,mm day-1,7,1.0
15091_Wittenberg,RRm,year,precipitation,mm day-1,7,1.0
16051_16067_16068_16070_16071_16055_Region_um_Erfurt,RRm,year,precipitation,mm day-1,7,1.0
16051_Erfurt,RRm,year,precipitation,mm day-1,7,1.0
16052_16076_15084_16074_Region_um_Gera,RRm,year,precipitation,mm day-1,7,1.0
16052_Gera,RRm,year,precipitation,mm day-1,7,1.0
16053_16074_16071_16055_Region_um_Jena,RRm,year,precipitation,mm day-1,7,1.0
16053_Jena,RRm,year,precipitation,mm day-1,7,1.0
16054_16066_16069_16070_Region_um_Suhl,RRm,year,precipitation,mm day-1,7,
16054_Suhl,RRm,year,precipitation,mm day-1,7,
16055_16071_Region_um_Weimar,RRm,year,precipitation,mm day-1,7,1.0
16055_Weimar,RRm,year,precipitation,mm day-1,7,1.0
16056_16063_06636_Region_um_Eisenach,RRm,year,precipitation,mm day-1,7,1.0
16056_Eisenach,RRm,year,precipitation,mm day-1,7,1.0
16061_Eichsfeld,RRm,year,precipitation,mm day-1,7,1.0
16062_Nordhausen,RRm,year,precipitation,mm day-1,7,1.0
16063_Wartburgkreis,RRm,year,precipitation,mm day-1,7,1.0
16064_Unstrut-Hainich-Kreis,RRm,year,precipitation,mm day-1,7,1.0
16065_Kyffhäuserkreis,RRm,year,precipitation,mm day-1,7,1.0
16066_Schmalkalden-Meiningen,RRm,year,precipitation,mm day-1,7,1.0
16067_Gotha,RRm,year,precipitation,mm day-1,7,1.0
16068_Sömmerda,RRm,year,precipitation,mm day-1,7,1.0
16069_Hildburghausen,RRm,year,precipitation,mm day-1,7,
16070_Ilm-Kreis,RRm,year,precipitation,mm day-1,7,1.0
16071_Weimarer Land,RRm,year,precipitation,mm day-1,7,1.0
16072_Sonneberg,RRm,year,precipitation,mm day-1,7,
16073_Saalfeld-Rudolstadt,RRm,year,precipitation,mm day-1,7,1.0
16074_Saale-Holzland-Kreis,RRm,year,precipitation,mm day-1,7,1.0
16075_Saale-Orla-Kreis,RRm,year,precipitation,mm day-1,7,1.0
16076_Greiz,RRm,year,precipitation,mm day-1,7,1.0
16077_Altenburger Land,RRm,year,precipitation,mm day-1,7,1.0
