region,ci_name,ci_frequency,standard_name,units,mid_month,DD_sem_3C_rcp85_ensemble-robustness
01001_Flensburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
01002_Kiel,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
01003_Lübeck,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
01004_Neumünster,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
01051_Dithmarschen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
01053_Herzogtum Lauenburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
01054_Nordfriesland,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
01055_Ostholstein,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
01057_Plön,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
01058_Rendsburg-Eckernförde,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
01059_Schleswig-Flensburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
01060_Segeberg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
01061_Steinburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
01062_Stormarn,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
02000_Hamburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03101_Braunschweig,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03102_Salzgitter,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03103_Wolfsburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03151_Gifhorn,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03159_Göttingen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03153_Goslar,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
03154_Helmstedt,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03155_Northeim,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03157_Peine,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03158_Wolfenbüttel,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
03241_Region Hannover,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03251_Diepholz,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03252_Hameln-Pyrmont,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03254_Hildesheim,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
03255_Holzminden,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
01056_Pinneberg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03256_Nienburg (Weser),DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03257_Schaumburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
03351_Celle,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03352_Cuxhaven,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03353_Harburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03354_Lüchow-Dannenberg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
03355_Lüneburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03356_Osterholz,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03357_Rotenburg (Wümme),DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03358_Heidekreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
03359_Stade,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03360_Uelzen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03361_Verden,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03401_Delmenhorst,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
03402_Emden,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03403_Oldenburg (Oldb),DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03404_Osnabrück,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03405_Wilhelmshaven,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
03451_Ammerland,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03452_Aurich,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03453_Cloppenburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03454_Emsland,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
03455_Friesland,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03456_Grafschaft Bentheim,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03457_Leer,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03458_Oldenburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
03459_Osnabrück,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03460_Vechta,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03461_Wesermarsch,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
03462_Wittmund,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
04011_Bremen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
04012_Bremerhaven,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05111_Düsseldorf,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05112_Duisburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
05113_Essen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05114_Krefeld,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05116_Mönchengladbach,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05117_Mülheim an der Ruhr,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
05119_Oberhausen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05120_Remscheid,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05122_Solingen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05124_Wuppertal,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
05154_Kleve,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05158_Mettmann,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05162_Rhein-Kreis Neuss,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05166_Viersen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
05170_Wesel,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05314_Bonn,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05315_Köln,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05316_Leverkusen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
05334_Städteregion Aachen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05358_Düren,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05362_Rhein-Erft-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05366_Euskirchen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
05370_Heinsberg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05374_Oberbergischer Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05378_Rheinisch-Bergischer Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05382_Rhein-Sieg-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
05512_Bottrop,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05513_Gelsenkirchen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05515_Münster,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05554_Borken,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
05558_Coesfeld,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05562_Recklinghausen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05566_Steinfurt,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05570_Warendorf,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
05711_Bielefeld,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05754_Gütersloh,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05758_Herford,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05762_Höxter,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05766_Lippe,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05770_Minden-Lübbecke,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05774_Paderborn,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05911_Bochum,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
05913_Dortmund,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05914_Hagen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05915_Hamm,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05916_Herne,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
05954_Ennepe-Ruhr-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05958_Hochsauerlandkreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05962_Märkischer Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05966_Olpe,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
05970_Siegen-Wittgenstein,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05974_Soest,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
05978_Unna,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
06411_Darmstadt,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
06412_Frankfurt am Main,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
06413_Offenbach am Main,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
06414_Wiesbaden,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
06431_Bergstraße,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
06432_Darmstadt-Dieburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
06433_Groß-Gerau,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
06434_Hochtaunuskreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
06435_Main-Kinzig-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
06436_Main-Taunus-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
06437_Odenwaldkreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
06438_Offenbach,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
06439_Rheingau-Taunus-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
06440_Wetteraukreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
06531_Gießen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
06532_Lahn-Dill-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
06533_Limburg-Weilburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
06534_Marburg-Biedenkopf,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
06535_Vogelsbergkreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
06611_Kassel,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
06631_Fulda,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
06632_Hersfeld-Rotenburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
06633_Kassel,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
06634_Schwalm-Eder-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
06635_Waldeck-Frankenberg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
06636_Werra-Meißner-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07111_Koblenz,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07131_Ahrweiler,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07132_Altenkirchen (Westerwald),DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07133_Bad Kreuznach,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07134_Birkenfeld,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07135_Cochem-Zell,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07137_Mayen-Koblenz,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07138_Neuwied,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07140_Rhein-Hunsrück-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07141_Rhein-Lahn-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07143_Westerwaldkreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07211_Trier,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07231_Bernkastel-Wittlich,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07232_Eifelkreis Bitburg-Prüm,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07233_Vulkaneifel,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
07235_Trier-Saarburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07311_Frankenthal (Pfalz),DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07312_Kaiserslautern,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07313_Landau in der Pfalz,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07314_Ludwigshafen am Rhein,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07315_Mainz,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07316_Neustadt an der Weinstraße,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07317_Pirmasens,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07318_Speyer,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07319_Worms,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07320_Zweibrücken,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07331_Alzey-Worms,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07332_Bad Dürkheim,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07333_Donnersbergkreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07334_Germersheim,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07335_Kaiserslautern,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07336_Kusel,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07337_Südliche Weinstraße,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07338_Rhein-Pfalz-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07339_Mainz-Bingen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
07340_Südwestpfalz,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08111_Stuttgart,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08115_Böblingen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08116_Esslingen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08117_Göppingen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08118_Ludwigsburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08119_Rems-Murr-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08121_Heilbronn,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
08125_Heilbronn,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08126_Hohenlohekreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08127_Schwäbisch Hall,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08128_Main-Tauber-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08135_Heidenheim,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08136_Ostalbkreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08211_Baden-Baden,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08212_Karlsruhe,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
08215_Karlsruhe,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08216_Rastatt,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08221_Heidelberg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08222_Mannheim,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08225_Neckar-Odenwald-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08226_Rhein-Neckar-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08231_Pforzheim,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08235_Calw,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
08236_Enzkreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08237_Freudenstadt,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08311_Freiburg im Breisgau,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08315_Breisgau-Hochschwarzwald,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08316_Emmendingen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08317_Ortenaukreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08325_Rottweil,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08326_Schwarzwald-Baar-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08327_Tuttlingen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08335_Konstanz,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08336_Lörrach,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08337_Waldshut,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
08415_Reutlingen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08416_Tübingen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08417_Zollernalbkreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08421_Ulm,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
08425_Alb-Donau-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08426_Biberach,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08435_Bodenseekreis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
08436_Ravensburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
08437_Sigmaringen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09161_Ingolstadt,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09162_München,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09163_Rosenheim,DD,sem,days_with_precipitation_amount_below_threshold,days,7,2.0
09171_Altötting,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09172_Berchtesgadener Land,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09173_Bad Tölz-Wolfratshausen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09174_Dachau,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09175_Ebersberg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09176_Eichstätt,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09177_Erding,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09178_Freising,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09179_Fürstenfeldbruck,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09180_Garmisch-Partenkirchen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09181_Landsberg am Lech,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09182_Miesbach,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09183_Mühldorf a. Inn,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09184_München,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09185_Neuburg-Schrobenhausen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09186_Pfaffenhofen a.d. Ilm,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09187_Rosenheim,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09188_Starnberg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09189_Traunstein,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09190_Weilheim-Schongau,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09261_Landshut,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09262_Passau,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09263_Straubing,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09271_Deggendorf,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09272_Freyung-Grafenau,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09273_Kelheim,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09274_Landshut,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09275_Passau,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09276_Regen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09277_Rottal-Inn,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09278_Straubing-Bogen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09279_Dingolfing-Landau,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09361_Amberg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09362_Regensburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09363_Weiden i.d. OPf.,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09371_Amberg-Sulzbach,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09372_Cham,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09373_Neumarkt i.d. OPf.,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09374_Neustadt a.d. Waldnaab,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09375_Regensburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09376_Schwandorf,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09377_Tirschenreuth,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09461_Bamberg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09462_Bayreuth,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09463_Coburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09464_Hof,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09471_Bamberg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09472_Bayreuth,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09473_Coburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09474_Forchheim,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09475_Hof,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09476_Kronach,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09477_Kulmbach,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09478_Lichtenfels,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09479_Wunsiedel i. Fichtelgebirge,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09561_Ansbach,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09562_Erlangen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09563_Fürth,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09564_Nürnberg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09565_Schwabach,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09571_Ansbach,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09572_Erlangen-Höchstadt,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09573_Fürth,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09574_Nürnberger Land,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09575_Neustadt a.d. Aisch-Bad Windsheim,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09576_Roth,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09577_Weißenburg-Gunzenhausen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09661_Aschaffenburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09662_Schweinfurt,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09663_Würzburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09671_Aschaffenburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09672_Bad Kissingen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09673_Rhön-Grabfeld,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09674_Haßberge,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09675_Kitzingen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09676_Miltenberg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09677_Main-Spessart,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09678_Schweinfurt,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09679_Würzburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09761_Augsburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09762_Kaufbeuren,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09763_Kempten (Allgäu),DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09764_Memmingen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09771_Aichach-Friedberg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09772_Augsburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09773_Dillingen a.d. Donau,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09774_Günzburg,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09775_Neu-Ulm,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09776_Lindau (Bodensee),DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09777_Ostallgäu,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09778_Unterallgäu,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09779_Donau-Ries,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
09780_Oberallgäu,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
10041_Regionalverband Saarbrücken,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
10042_Merzig-Wadern,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
10043_Neunkirchen,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
10044_Saarlouis,DD,sem,days_with_precipitation_amount_below_threshold,days,7,1.0
